               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1067,             0.05799,            0.052812,           0.0005618,                0.02,          0.00032446,           6.389e-05,             0.10064,            0.036977,            0.052358,              0.0937,              0.0007,              0.0007
                   1,             0.10254,            0.062113,            0.052371,           0.0030369,            0.099259,           0.0030828,           0.0010249,            0.096964,             0.03868,            0.052025,             0.08647,           0.0014703,           0.0014703
                   2,            0.099576,            0.062742,            0.051995,           0.0016347,            0.091852,           0.0020425,          0.00073376,            0.095109,            0.039562,            0.051814,            0.079209,           0.0022089,           0.0022089
                   3,            0.096191,            0.070677,            0.051642,           0.0015954,            0.099259,           0.0021237,          0.00076687,            0.093537,            0.040307,            0.051566,            0.071916,           0.0029159,           0.0029159
                   4,             0.09326,            0.069204,            0.051063,           0.0017135,             0.15111,           0.0036365,          0.00097542,            0.092348,            0.040857,            0.051276,            0.064591,           0.0035911,           0.0035911
                   5,            0.091367,            0.071816,            0.050559,           0.0017144,             0.15111,            0.004823,           0.0011624,            0.091468,            0.041256,             0.05095,            0.057235,           0.0042347,           0.0042347
                   6,            0.089476,            0.066867,            0.050202,             0.00163,              0.1437,            0.002863,          0.00059185,            0.090949,            0.041471,            0.050674,            0.049847,           0.0048466,           0.0048466
                   7,            0.091105,            0.071167,            0.049734,           0.0015694,              0.1363,           0.0033784,           0.0005683,            0.090621,            0.041663,             0.05029,            0.042427,           0.0054268,           0.0054268
                   8,            0.088121,            0.073702,            0.048851,           0.0043116,             0.20138,             0.01893,            0.003954,            0.090502,            0.041935,            0.049681,            0.034975,           0.0059754,           0.0059754
                   9,            0.085817,            0.073038,            0.047974,           0.0026785,              0.1728,            0.021346,           0.0045866,            0.091237,            0.042028,            0.048944,            0.027492,           0.0064922,           0.0064922
                  10,            0.086588,            0.072915,            0.047559,             0.20479,             0.15852,            0.035619,           0.0076382,            0.092174,            0.043839,            0.047356,            0.019977,           0.0069774,           0.0069774
                  11,            0.084991,            0.079283,            0.046534,             0.63894,            0.086667,            0.021666,           0.0046027,            0.092275,            0.046304,            0.046287,            0.012431,           0.0074309,           0.0074309
                  12,            0.084051,            0.074414,             0.04601,             0.81643,            0.081481,            0.037877,           0.0075466,            0.092105,            0.051292,             0.04609,            0.007624,            0.007624,            0.007624
                  13,            0.083098,            0.073048,            0.045329,             0.61308,            0.074074,            0.020071,           0.0055923,            0.090901,            0.053341,            0.046178,            0.007624,            0.007624,            0.007624
                  14,            0.082393,            0.074931,            0.044771,              0.6466,            0.099259,            0.026413,           0.0060553,            0.092037,            0.051467,            0.046339,            0.007426,            0.007426,            0.007426
                  15,            0.080906,            0.076095,            0.043398,             0.63823,             0.14651,            0.038022,           0.0097442,            0.091796,            0.048018,            0.046258,            0.007228,            0.007228,            0.007228
                  16,            0.079127,            0.069122,            0.042999,             0.62809,            0.097037,            0.028219,           0.0072557,            0.091769,            0.044524,             0.04577,             0.00703,             0.00703,             0.00703
                  17,            0.078398,             0.07046,             0.04266,             0.63285,             0.10444,            0.035944,            0.010381,            0.091002,            0.043422,            0.045527,            0.006832,            0.006832,            0.006832
                  18,            0.078774,            0.076326,            0.042367,             0.68363,            0.059259,            0.070025,            0.020428,            0.087185,            0.043346,            0.044371,            0.006634,            0.006634,            0.006634
                  19,             0.07696,            0.075171,            0.041784,             0.65211,             0.14889,            0.076642,            0.024649,            0.084718,            0.040814,            0.043564,            0.006436,            0.006436,            0.006436
                  20,            0.077418,            0.072605,             0.04119,             0.66281,             0.10889,            0.074503,            0.026164,            0.082739,            0.039653,            0.042682,            0.006238,            0.006238,            0.006238
